hashtags;timestamp;type;users_in_photo;user_id;likes
[u'hawaiiliving', u'cute', u'mcm', u'love', u'waves', u'converse', u'hilife', u'moks', u'adventures', u'water', u'explore', u'beachday', u'kailua', u'climbing', u'instadaily', u'boyswithbooty', u'intense', u'handsome', u'bluecrush', u'island', u'kayaking', u'hawaii', u'rocks', u'arkansas', u'blueskies', u'whiteboys', u'deepsea', u'marines', u'myhusbandisbetterthanyours'];1447707833;image;1;31856661;10
[u'latinos', u'explorer', u'instalike', u'selfie', u'men', u'boys', u'likes', u'climbing', u'liking', u'instamood', u'guys', u'man', u'me', u'boy', u'igersvenezuela', u'like4like', u'igersfalcon', u'tflers', u'igers', u'instagramers', u'instagood', u'tagsforlikes', u'pretty', u'fun', u'guy', u'vscocam', u'venezuela', u'paraguana', u'l4l'];1447707825;image;0;1432060246;20
[u'climbing', u'comartwork', u'klettern'];1447707815;image;0;242805699;3
[u'etv', u'for\xeat', u'fontainebleau', u'escalade', u'climbing', u'climb', u'escaladeenterresvives'];1447707775;image;0;2223100624;3
[u'ptotranquilo', u'instachile', u'nature', u'awesome', u'patagoniapromount', u'patagonia', u'ninja', u'cold', u'me', u'rainy', u'glacier', u'freedom', u'ice', u'chilegram', u'liveauthentic', u'bestoftheday', u'mtb', u'climbing', u'glaciating', u'nofilter', u'south'];1447707773;image;0;264427400;13
[u'rockclimbing', u'climbing_pictures_of_instagram', u'trainhardclimbhard', u'firstascent', u'liveclimbrepeat', u'climbhard', u'goforit', u'climbing', u'goclimb', u'freesolo', u'bishop', u'bouldering', u'sendwithus', u'toppedout', u'committothepact', u'cruxislife', u'planetgranite', u'southwestarete', u'grandmapeabody', u'highballboulder', u'happyclimbing'];1447707761;image;0;10585154;17
[u'boulder', u'rockclimbing', u'bouldering', u'crossfit', u'sandiego', u'mcm', u'roguefitness', u'rogue', u'weightlifting', u'fitness', u'climbing'];1447707750;image;2;1547359479;22
[u'boulder', u'bouldering', u'crossfit', u'climbing_pictures_of_instagram', u'preformance', u'healthy', u'health', u'escalade', u'climbing', u'climb'];1447707747;video;0;1779970225;9
[u'regram', u'totempole', u'marmot', u'getoutstayout', u'adventure', u'lt11', u'itsgreatoutthere', u'featuremeinstagood', u'enecco', u'tasmania', u'repost', u'climbing', u'instaclimb', u'adventureaddicts', u'travel', u'whatgivesyoulife', u'instagood', u'liveyouradventure', u'liveauthentic', u'climbersofinstagram', u'earthunfiltered', u'enecco_outdoors', u'beach', u'lonelyplanet'];1447707739;image;0;694190122;10
[u'me', u'\u6d1e\u7a9f\u63a2\u3057\u3057\u305f\u3044', u'hiking', u'climbing', u'latepost', u'hawaii', u'saturday'];1447707718;image;0;1411225684;9
[u'indoorrockclimbing', u'rockclimbing', u'love', u'fun', u'climbing', u'aerialarts'];1447707710;video;0;54125053;4
[u'\u062e\u0627\u0637\u0631\u0627\u062a', u'\u0643\u0648\u0647\u0646\u0648\u0631\u062f\u0649', u'iran', u'doostan', u'memories', u'\u0627\u064a\u0631\u0627\u0646', u'brother', u'\u0628\u0631\u0627\u062f\u0631\u0643\u0648\u0686\u0648\u0644\u0648', u'darabad', u'\u062a\u0647\u0631\u0627\u0646', u'climbing', u'tehran'];1447707704;image;1;2004157747;6
[u'mountains', u'adventure', u'peru', u'climbing', u'travel', u'huaraz'];1447707693;image;1;1423866853;6
[u'etv', u'for\xeat', u'fontainebleau', u'escalade', u'climbing', u'climb', u'escaladeenterresvives'];1447707690;image;0;2223100624;2
[u'puma', u'yvr', u'olympicvillage', u'bird', u'vancouver', u'climbing', u'climb', u'maxclimbs'];1447707672;image;0;2250318584;1
[u'newhampshire', u'rockclimbing', u'nhmountains', u'whitemountainsnh', u'nhclimbing', u'climbing'];1447707671;image;2;21890821;2
[u'boulder', u'rockclimbing', u'skiklatreklub', u'climbing', u'flylikearocket', u'skk'];1447707628;video;0;1560834909;2
[u'etv', u'for\xeat', u'fontainebleau', u'escalade', u'climbing', u'climb', u'escaladeenterresvives'];1447707612;image;0;2223100624;2
[u'bouldering', u'evolvshaman', u'santeeboulders', u'chalkup', u'organiccrashpads', u'mysdphoto', u'sonya7', u'evolv', u'outdoors', u'climbing', u'sonyalpha', u'outdooradvphotog', u'sonyimages'];1447707612;image;0;2240105681;9
[u'climbing', u'treeguy', u'ashtree', u'bigtrees', u'treeremoval', u'tree', u'greenhaventreeservice'];1447707599;image;0;2207547847;3
[u'mountain', u'livefolkindonesia', u'livefolk', u'mountaineering', u'amazingindonesia', u'climbing', u'beautifullandscape', u'wonderfulindonesia', u'exploreindonesia'];1447707599;image;3;653725809;0
[u'livewithoutlimits', u'iloveclimbing', u'climbing_pictures_of_instagram', u'outdoor', u'adventure', u'petzl', u'climbing', u'adrenalin'];1447707569;image;0;639493420;11
[u'rockclimbing', u'vegas', u'redrock', u'climbing', u'redrockcanyon', u'redrocks', u'southernnevada'];1447707562;image;0;2275736635;8
[u'etv', u'for\xeat', u'fontainebleau', u'escalade', u'climbing', u'climb', u'escaladeenterresvives'];1447707544;image;0;2223100624;1
[u'shutuplegs', u'climbing', u'cycling', u'buitenblad'];1447707520;image;2;2243908407;4
